occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,preservativeUsed,,DMSO,https://vocab.nerc.ac.uk/collection/P01/current/DSSPPRMT/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,lowerLimitFilterSize,micrometer,100,https://vocab.nerc.ac.uk/collection/P01/current/PRSZSPLW/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu567,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,preservativeUsed,,DMSO,https://vocab.nerc.ac.uk/collection/P01/current/DSSPPRMT/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,lowerLimitFilterSize,micrometer,100,https://vocab.nerc.ac.uk/collection/P01/current/PRSZSPLW/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu50,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,preservativeUsed,,DMSO,https://vocab.nerc.ac.uk/collection/P01/current/DSSPPRMT/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,lowerLimitFilterSize,micrometer,100,https://vocab.nerc.ac.uk/collection/P01/current/PRSZSPLW/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu403,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,submergedTime,day,159,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,preservativeUsed,,DMSO,https://vocab.nerc.ac.uk/collection/P01/current/DSSPPRMT/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,lowerLimitFilterSize,micrometer,100,https://vocab.nerc.ac.uk/collection/P01/current/PRSZSPLW/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1:Otu490,fieldReplicateID,,no replicate,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,preservativeUsed,,DMSO,https://vocab.nerc.ac.uk/collection/P01/current/DSSPPRMT/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,lowerLimitFilterSize,micrometer,100,https://vocab.nerc.ac.uk/collection/P01/current/PRSZSPLW/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu238,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,preservativeUsed,,DMSO,https://vocab.nerc.ac.uk/collection/P01/current/DSSPPRMT/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu63,lowerLimitFilterSize,micrometer,100,https://vocab.nerc.ac.uk/collection/P01/current/PRSZSPLW/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
