ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574069,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/eb0fb190-ffbe-4eb4-9fbe-522cc7d10fe9.jpg
BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,5266278,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/96f967be-ac47-4247-873a-69d29b3ce6f7.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5266141,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/23aeb50c-162c-497a-bb66-a8b73ceb0315.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5266145,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9b954d90-1dc9-4893-8d59-3ce6e43cff22.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766685,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/1b76e3eb-4d0b-4b97-8575-3d44171e7793.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574094,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/2eff303f-b472-4774-a674-e51a33838cc8.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766753,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/aff8ec2c-4ab0-47b2-8583-15db58908340.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513536,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a513613a-777b-452e-93da-8e07977884cd.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574123,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5d48b3c2-b847-4684-b2d7-f253a9207c50.jpg
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,5575132,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/658d23d7-5376-478a-ba1d-6fbafd9e4abd.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766719,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/51fbead5-3b25-406a-9cbb-9dafb6173f72.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574177,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/62bc564c-37b0-4b00-99a4-9f8030f50a9c.jpg
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5266232,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a7dfb86f-af80-4341-9fa1-28232f794395.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574065,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f6303c56-9ab3-4fdf-8bf2-d2bfa0523f6d.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574131,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/539ce496-fc7d-4b24-84b9-c4095a6b5ca4.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574175,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3f8e747d-936b-455b-b9bc-85ac2b945504.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766735,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/11b0d18a-2e50-4c49-9648-d1f9df4ffe19.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766725,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/bb1c6496-b80a-4fd5-a81a-aaaab9d2b063.jpg
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,5575139,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/52711c2b-8114-4006-b53d-5d6c33fa27a1.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574182,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0112610b-d791-49ff-8bf3-e7817e627b7e.jpg
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5266241,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9703c36a-5dbf-4015-9a63-e1e4235d4573.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766684,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cb1dc147-ed9f-4067-ad2e-0e9758169683.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574071,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d394cfef-61fd-4708-a46d-133262ae83e7.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513534,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c3611145-1cf0-40d0-832a-fbf599cae025.jpg
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,5575140,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ccdba981-0a21-47fd-80e0-3e88540b2c43.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574180,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/50311369-b757-411b-960a-840862d96f6e.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513543,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d64e2fcf-4a42-49df-8064-f55dc31ec29a.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766760,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c4101b4b-ba5d-4a26-9b3c-7b03f5dc1336.jpg
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,5575128,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e8c02020-a53d-4235-b430-7c6da88be1ff.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574150,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/8aaef530-8925-481f-a713-e4e434d496d1.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574066,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e469b303-0d0a-4312-a08f-47255fdfa988.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574072,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3d52a467-bfa6-41a0-b21e-732a46cb06a2.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766707,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4e937d40-4589-4ff4-b634-d6f2f9678faa.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574172,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/938d8145-4dea-4c57-affa-8bf1eb783309.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574181,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e4f100e3-e8fc-40e7-b3e3-fbd8a588e66f.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574085,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/88c880d4-8788-4f0e-9d87-cfcdcbfc3dc2.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574090,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4606e587-a790-4d99-87a6-522bcdd296bb.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574089,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a6d94142-3770-4cd3-9e53-66d6a8bbd4f9.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5266140,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cee2260e-6547-4d78-bb2d-41de06fe1e02.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574075,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a91d7265-e50b-4247-b08a-fe9f2efe9dd8.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574095,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4f3aadf5-3831-4afd-82b8-8f2c9b60e0fe.jpg
BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,5266281,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f91aebef-03f7-472e-b8db-b4b7a73a7fb1.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513540,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/68762184-1b07-4626-8a3d-461ebbb01232.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574078,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/02db1f3a-1f60-447c-97da-bc4eebd60455.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574136,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/23f3c55f-892d-4f64-8a6b-59263eae3442.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574096,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/87bd6114-366a-4843-8333-a66297ef2381.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513544,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/576d9239-ce60-45a2-9fb9-8553d476267e.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574092,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/8e4d83f7-bf9a-4640-a254-2f1b2859bf97.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766691,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/de8be85e-0cbe-4024-8531-d13c27982bd0.jpg
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5266245,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/bff58d5f-4a74-415a-9a44-3334b79e74fc.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574115,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c3ca9d17-6207-4e74-b0d7-e7f9098fa0aa.jpg
