ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,5571612,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d2a614dd-430a-4dfa-b4d5-5549db99d2ee.csv
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,5571616,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/dcbfe6d2-72ed-486b-a0ff-bb2474ed3d6c.csv
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5571608,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f2432f9e-2275-425c-8b9f-ff1268d33115.csv
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,5571713,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/1bc38c42-e52d-4eff-b8ab-5cbfae805331.csv
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,5571614,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f78b314a-6773-459e-97c4-5287e57e1343.csv
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5571598,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/676077c9-614b-49c9-9b8e-818185006337.csv
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5571714,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/fafe297f-d071-4c59-b4d5-bd919264284a.csv
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,5575189,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/968ffc19-64b7-4b53-839d-deda6c6bee76.csv
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,5575186,Text,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d0f10cd1-ffd5-48ff-a7cd-fd86e5e76637.csv
Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708,5135966,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5ead7bf5-73a8-472d-a2c3-3a6f59405b7f.xlsx
Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707,5135987,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/b568d069-ec9b-4721-9ff5-b54bbf97db96.xlsx
Galway,Gurr2,ARMS_Galway_Gurr2_20200721_20210707,5135986,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c59d0532-9ad4-40f7-a19d-66af13e0be5e.xlsx
Galway,Gurr1,ARMS_Galway_Gurr1_20200721_20210708,5135965,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ac281a80-d2cb-4b10-83b8-112824d02776.xlsx
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,5136007,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e50001c1-059c-4305-9b78-ec1460349af1.xlsx
Galway,Gurr3,ARMS_Galway_Gurr3_20200723_20210708,5136008,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e66f1b74-2bb0-4973-a3ba-f8194b290c4f.xlsx
Getxo,G1,ARMS_Getxo_G1_20200624_20201103,3571338,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cdf48336-09b2-457a-ae40-580011a0a66b.xlsx
Getxo,G2,ARMS_Getxo_G2_20200624_20201103,3571340,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/94e79f65-8e82-4525-98a2-16baa455e146.xlsx
Getxo,G3,ARMS_Getxo_G3_20200624_20201103,3571344,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f534b330-6b8f-45f8-b4b6-441aec414262.xlsx
SWC,Helsingborg1,ARMS_SWC_Helsingborg1_20200305_20200604,3467615,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/753018c2-edf8-4e7d-8e9a-a00e00668479.pdf
SWC,Gbg1,ARMS_SWC_Gbg1_20200206_20200520,3569253,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/8b15c4aa-ec15-438f-8def-9b9473ef1461.xlsx
SWC,Gbg3,ARMS_SWC_Gbg3_20200206_20200529,3569264,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a3dcb4b7-50e8-47bc-bcf2-886a3a800237.xlsx
SWC,Gbg4,ARMS_SWC_Gbg4_20200206_20200529,3569263,Application,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9e8372dd-c148-458b-869d-8132b70b6a27.xlsx
